iter	MultiClass
0	1.985282782
1	1.877409413
2	1.81191382
3	1.779617506
4	1.755380622
5	1.737123712
6	1.730792147
7	1.719309043
8	1.709557933
9	1.702861406
10	1.697183664
11	1.691689975
12	1.685030809
13	1.678745454
14	1.673864491
15	1.668091969
16	1.663303819
17	1.656774435
18	1.653199939
19	1.649958942
20	1.646180138
21	1.64282047
22	1.638985624
23	1.635758687
24	1.631550129
25	1.628722565
26	1.625731594
27	1.621023083
28	1.617354299
29	1.614181633
30	1.611190761
31	1.609894617
32	1.607851543
33	1.605233497
34	1.603218738
35	1.601196211
36	1.59934771
37	1.597403741
38	1.596226466
39	1.594378949
40	1.592258496
41	1.590650189
42	1.588602592
43	1.587117676
44	1.586231327
45	1.584684568
46	1.582140753
47	1.580587112
48	1.579484657
49	1.578494484
50	1.577196964
51	1.576172674
52	1.575390741
53	1.573507631
54	1.572028811
55	1.570801884
56	1.569660889
57	1.568008535
58	1.566386758
59	1.56462055
60	1.563242016
61	1.562007125
62	1.561013609
63	1.559996004
64	1.558827381
65	1.558127053
66	1.556721087
67	1.555950362
68	1.555135688
69	1.553965689
70	1.553218069
71	1.551815839
72	1.551185318
73	1.550138119
74	1.549127102
75	1.548028679
76	1.547369251
77	1.546294326
78	1.545057076
79	1.544099053
80	1.543368737
81	1.542528697
82	1.541565562
83	1.540793854
84	1.539489353
85	1.538491314
86	1.537746644
87	1.537043857
88	1.536383348
89	1.535423654
90	1.534783005
91	1.533688417
92	1.532830188
93	1.532181772
94	1.531405639
95	1.530813167
96	1.529947171
97	1.52896093
98	1.528242511
99	1.527615038
100	1.527013422
101	1.525850206
102	1.524918434
103	1.524360472
104	1.523601251
105	1.522679311
106	1.521774282
107	1.521016043
108	1.520391323
109	1.519293096
110	1.518809267
111	1.518232034
112	1.517766001
113	1.516935793
114	1.51628138
115	1.515495219
116	1.514376443
117	1.513519787
118	1.513097506
119	1.512479668
120	1.511924065
121	1.511469339
122	1.511053448
123	1.510482901
124	1.509546606
125	1.508902124
126	1.508345735
127	1.507226861
128	1.506473047
129	1.506099925
130	1.505686984
131	1.505142001
132	1.504253489
133	1.50330461
134	1.502448052
135	1.501824019
136	1.50085351
137	1.500335957
138	1.499686067
139	1.499120436
140	1.498729616
141	1.49824038
142	1.497645745
143	1.496874626
144	1.496323153
145	1.49545116
146	1.494829782
147	1.494462854
148	1.493882377
149	1.493387536
150	1.492797719
151	1.492309563
152	1.491653282
153	1.491228444
154	1.490931422
155	1.490281433
156	1.489264222
157	1.48842133
158	1.48770006
159	1.487176117
160	1.486782348
161	1.486275119
162	1.485625031
163	1.485283175
164	1.484933159
165	1.484505273
166	1.483696794
167	1.483075416
168	1.482425525
169	1.482133025
170	1.481685967
171	1.481021132
172	1.480431708
173	1.47995545
174	1.479315686
175	1.478973142
176	1.478626173
177	1.478281367
178	1.477672771
179	1.477403376
180	1.476706292
181	1.4762905
182	1.475864384
183	1.475424503
184	1.475011169
185	1.47432608
186	1.473933688
187	1.473344165
188	1.472827203
189	1.472342292
190	1.471850204
191	1.471268154
192	1.470614527
193	1.470121456
194	1.469584927
195	1.469164514
196	1.468754719
197	1.468125673
198	1.467622376
199	1.467248271
200	1.466733078
201	1.466330264
202	1.465980739
203	1.46562384
204	1.465085443
205	1.464333792
206	1.463548221
207	1.463200269
208	1.462443604
209	1.46179509
210	1.461406434
211	1.460563346
212	1.460188946
213	1.45991316
214	1.459313609
215	1.458808937
216	1.458374955
217	1.457765277
218	1.457328248
219	1.456967809
220	1.456579252
221	1.456304744
222	1.456057569
223	1.455342395
224	1.454561543
225	1.454313877
226	1.453870752
227	1.453282606
228	1.45250726
229	1.452015172
230	1.451820303
231	1.451290854
232	1.450829048
233	1.450340499
234	1.449795024
235	1.449341182
236	1.448581666
237	1.448250526
238	1.447949571
239	1.447388364
240	1.446957726
241	1.446418346
242	1.446012189
243	1.445430336
244	1.444928121
245	1.444401523
246	1.443633452
247	1.443082864
248	1.442492654
249	1.44218226
250	1.441985916
251	1.441357361
252	1.44090991
253	1.440501786
254	1.440114703
255	1.439734601
256	1.439441806
257	1.438802534
258	1.438438949
259	1.43774393
260	1.437424982
261	1.437070836
262	1.436570096
263	1.436096001
264	1.435427724
265	1.435184286
266	1.434586111
267	1.434359289
268	1.434007895
269	1.433693765
270	1.433457012
271	1.432853824
272	1.432229693
273	1.432051833
274	1.431620506
275	1.43129271
276	1.430907987
277	1.430631709
278	1.430308829
279	1.430058999
280	1.429640553
281	1.429281294
282	1.429011309
283	1.428584997
284	1.428160749
285	1.427958899
286	1.427496504
287	1.427118663
288	1.42684386
289	1.426399064
290	1.426201344
291	1.425941093
292	1.425678383
293	1.42526092
294	1.424965077
295	1.424550366
296	1.424342028
297	1.423895658
298	1.42362882
299	1.423356573
300	1.422936455
301	1.422368071
302	1.42202887
303	1.421863202
304	1.421619566
305	1.421300815
306	1.421082841
307	1.42086821
308	1.420638045
309	1.420323915
310	1.419914513
311	1.419685134
312	1.419495083
313	1.419282812
314	1.418981955
315	1.418561837
316	1.418251049
317	1.417898181
318	1.417755618
319	1.417471082
320	1.417042803
321	1.416820897
322	1.416544816
323	1.416294889
324	1.416038472
325	1.415684031
326	1.415424271
327	1.415069437
328	1.414606451
329	1.414267053
330	1.413883608
331	1.413568101
332	1.413243648
333	1.413114948
334	1.412935417
335	1.412822546
336	1.41256613
337	1.412306173
338	1.411884679
339	1.411649794
340	1.411418448
341	1.411125064
342	1.410915939
343	1.410498278
344	1.410282172
345	1.41001966
346	1.409701105
347	1.409551463
348	1.409169788
349	1.408984948
350	1.408809054
351	1.408624313
352	1.408412631
353	1.408192199
354	1.408040984
355	1.407656949
356	1.407467881
357	1.40711285
358	1.406719966
359	1.406350974
360	1.406177932
361	1.406018655
362	1.405789767
363	1.405436113
364	1.40519061
365	1.405100254
366	1.404964082
367	1.404655753
368	1.40431252
369	1.404075079
370	1.403771469
371	1.403347909
372	1.402938803
373	1.40251426
374	1.402242702
375	1.401886492
376	1.401563611
377	1.401188326
378	1.40084411
379	1.400702432
380	1.400489178
381	1.400185076
382	1.399950093
383	1.399672243
384	1.399456039
385	1.399221154
386	1.398764756
387	1.398549142
388	1.398282893
389	1.398075832
390	1.397656107
391	1.397391137
392	1.396897771
393	1.396563485
394	1.396262235
395	1.396052225
396	1.395757464
397	1.395344916
398	1.395058413
399	1.394806519
400	1.394675558
401	1.394507629
402	1.394071583
403	1.393697773
404	1.393359259
405	1.392897454
406	1.392613999
407	1.392388946
408	1.392017398
409	1.391790772
410	1.39159374
411	1.391372522
412	1.390848283
413	1.390366519
414	1.390206553
415	1.389879346
416	1.389792432
417	1.389562168
418	1.38938834
419	1.389056906
420	1.388707676
421	1.388435823
422	1.388365721
423	1.388027503
424	1.387817591
425	1.387331992
426	1.387093764
427	1.386916691
428	1.386546519
429	1.386080191
430	1.385938709
431	1.385708642
432	1.385079694
433	1.384913534
434	1.384710898
435	1.38453058
436	1.384422429
437	1.384081753
438	1.383748647
439	1.383212512
440	1.383102296
441	1.382907034
442	1.382543056
443	1.382238168
444	1.381932592
445	1.381689645
446	1.38155711
447	1.381118803
448	1.38074106
449	1.380222819
450	1.380001306
451	1.379794344
452	1.379489947
453	1.379041414
454	1.378896393
455	1.378619821
456	1.378522289
457	1.378192821
458	1.377996674
459	1.377677234
460	1.377371461
461	1.376945935
462	1.37663151
463	1.376233219
464	1.376020554
465	1.375797861
466	1.37543172
467	1.37521994
468	1.37490758
469	1.374711826
470	1.374323367
471	1.373990261
472	1.373724897
473	1.373514199
474	1.373402508
475	1.373116989
476	1.372978752
477	1.372662754
478	1.372510359
479	1.37239916
480	1.372099876
481	1.371820157
482	1.371491476
483	1.371143426
484	1.370844044
485	1.370584284
486	1.370303287
487	1.369917679
488	1.369789373
489	1.369663131
490	1.369376333
491	1.369252451
492	1.368955822
493	1.368756725
494	1.368616423
495	1.368419981
496	1.368155896
497	1.367867624
498	1.367694188
499	1.367357445
500	1.367143502
501	1.366826816
502	1.366596552
503	1.366050388
504	1.365766442
505	1.365622994
506	1.365286251
507	1.365122746
508	1.364925812
509	1.364831721
510	1.364469316
511	1.364268253
512	1.364088328
513	1.363865439
514	1.363510703
515	1.363343265
516	1.363124603
517	1.362984006
518	1.362594367
519	1.362355156
520	1.362097854
521	1.361953423
522	1.361690518
523	1.36137157
524	1.361011918
525	1.360697001
526	1.360434489
527	1.360207469
528	1.360019286
529	1.35986758
530	1.359731211
531	1.359488264
532	1.359288086
533	1.358890777
534	1.358639178
535	1.358438509
536	1.358090262
537	1.357717435
538	1.357462493
539	1.357297415
540	1.357056533
541	1.356594334
542	1.356475073
543	1.356334476
544	1.356251101
545	1.355888401
546	1.355696187
547	1.355141666
548	1.354892427
549	1.354679467
550	1.354472112
551	1.354304281
552	1.354095844
553	1.353880033
554	1.353612801
555	1.35320399
556	1.353113438
557	1.352980117
558	1.352584283
559	1.352495894
560	1.352273398
561	1.352140077
562	1.351914631
563	1.351775312
564	1.351376627
565	1.351226789
566	1.350961327
567	1.350756036
568	1.350551139
569	1.350450361
570	1.350340735
571	1.350168775
572	1.350081172
573	1.349876373
574	1.349753867
575	1.349624479
576	1.349479065
577	1.349354789
578	1.349102109
579	1.348903504
580	1.34869428
581	1.348485155
582	1.348361076
583	1.348250959
584	1.348107708
585	1.347894256
586	1.34772033
587	1.347515629
588	1.347296967
589	1.34706454
590	1.346969662
591	1.346812646
592	1.346682864
593	1.346542366
594	1.346262648
595	1.346109663
596	1.34580566
597	1.345652773
598	1.345514635
599	1.345242192
600	1.345149477
601	1.344807719
602	1.344443249
603	1.344180638
604	1.343937397
605	1.343696121
606	1.343438426
607	1.343183189
608	1.342982028
609	1.342869747
610	1.342616182
611	1.34251098
612	1.342281995
613	1.342097843
614	1.341958819
615	1.341849685
616	1.341624632
617	1.341458767
618	1.341283267
619	1.341133822
620	1.340931874
621	1.340757259
622	1.340454239
623	1.340266449
624	1.339994105
625	1.339587358
626	1.339483336
627	1.339160357
628	1.339000293
629	1.33864831
630	1.3384968
631	1.338221211
632	1.338076289
633	1.337944148
634	1.337713491
635	1.337359836
636	1.337195348
637	1.337011589
638	1.336828027
639	1.336650364
640	1.336370646
641	1.336304083
642	1.335990445
643	1.335808554
644	1.335560495
645	1.335281956
646	1.33505946
647	1.334811498
648	1.334659202
649	1.334497172
650	1.334389512
651	1.334246064
652	1.333906371
653	1.333763316
654	1.333397667
655	1.333209385
656	1.333091697
657	1.332949331
658	1.33267738
659	1.332414277
660	1.332225504
661	1.331980099
662	1.331804894
663	1.331671278
664	1.331501973
665	1.331172111
666	1.330901832
667	1.330799383
668	1.330638238
669	1.330218611
670	1.330090304
671	1.329901433
672	1.329781188
673	1.329547483
674	1.329403937
675	1.329256262
676	1.328984507
677	1.328839388
678	1.328489076
679	1.328358115
680	1.328222139
681	1.328039954
682	1.327849214
683	1.327732804
684	1.327558976
685	1.327452889
686	1.327199717
687	1.327081144
688	1.326754232
689	1.326583747
690	1.32644433
691	1.326357711
692	1.32615124
693	1.325889613
694	1.325764256
695	1.325425939
696	1.325226056
697	1.324994612
698	1.324903568
699	1.324744488
700	1.324585309
701	1.324460345
702	1.324141692
703	1.323956852
704	1.323833756
705	1.323575668
706	1.323481871
707	1.323362119
708	1.323179146
709	1.32305084
710	1.322938756
711	1.322715276
712	1.322565142
713	1.322331732
714	1.322087212
715	1.321841611
716	1.321680072
717	1.321508997
718	1.321403402
719	1.321259167
720	1.321152393
721	1.32105604
722	1.320851241
723	1.320694815
724	1.320512432
725	1.320329165
726	1.320217376
727	1.319938739
728	1.319801682
729	1.319699528
730	1.319469658
731	1.319290618
732	1.319205081
733	1.318941093
734	1.318794598
735	1.318553224
736	1.318414889
737	1.318248827
738	1.318130156
739	1.317816026
740	1.317695486
741	1.317536897
742	1.317383126
743	1.317114813
744	1.316951308
745	1.316718389
746	1.31644221
747	1.316315083
748	1.31614971
749	1.31595258
750	1.315666176
751	1.31550041
752	1.315408383
753	1.315112049
754	1.314932911
755	1.314804309
756	1.314559101
757	1.314194828
758	1.313903803
759	1.313857986
760	1.313583479
761	1.313333453
762	1.313021977
763	1.312905862
764	1.312765462
765	1.312622408
766	1.312352718
767	1.312155588
768	1.311932796
769	1.311750512
770	1.311550039
771	1.311126676
772	1.310820313
773	1.310638718
774	1.310438048
775	1.310347201
776	1.310200115
777	1.310040641
778	1.309972211
779	1.309694066
780	1.309374528
781	1.309169926
782	1.308951067
783	1.308851666
784	1.308624057
785	1.308461142
786	1.308322413
787	1.308158122
788	1.307857265
789	1.307696414
790	1.307468314
791	1.307219959
792	1.307112103
793	1.306964034
794	1.306799841
795	1.306684217
796	1.306449824
797	1.306278945
798	1.306161257
799	1.305905234
800	1.305779975
801	1.305647637
802	1.30547607
803	1.305269698
804	1.305097836
805	1.304848105
806	1.304801403
807	1.304710851
808	1.304529255
809	1.304357295
810	1.304226628
811	1.304109235
812	1.304006688
813	1.303819095
814	1.303672009
815	1.303502113
816	1.303133318
817	1.302994884
818	1.302747415
819	1.302574078
820	1.302499945
821	1.302388254
822	1.302246674
823	1.302084644
824	1.301890562
825	1.301787327
826	1.301669442
827	1.301489616
828	1.301254534
829	1.301164572
830	1.300843462
831	1.300685069
832	1.300585472
833	1.300375855
834	1.300272226
835	1.30013399
836	1.299942267
837	1.299775419
838	1.299662745
839	1.299534144
840	1.299392367
841	1.299262389
842	1.299070076
843	1.29899968
844	1.298747786
845	1.298569828
846	1.298508968
847	1.29841763
848	1.298103696
849	1.297943632
850	1.297837546
851	1.29773844
852	1.297627143
853	1.297483301
854	1.297286565
855	1.297137021
856	1.296936155
857	1.296610718
858	1.29648015
859	1.296296784
860	1.296223241
861	1.295987767
862	1.295853561
863	1.295685632
864	1.29548624
865	1.295392247
866	1.295125801
867	1.294952563
868	1.294785027
869	1.29465967
870	1.294373462
871	1.294220084
872	1.2939442
873	1.293779417
874	1.293693486
875	1.293457913
876	1.293346714
877	1.293209657
878	1.293013215
879	1.292810677
880	1.292624165
881	1.292550524
882	1.292272674
883	1.292083901
884	1.29185639
885	1.29171481
886	1.291473142
887	1.291344147
888	1.291220658
889	1.291011532
890	1.290823448
891	1.290657681
892	1.290501452
893	1.290380421
894	1.290238743
895	1.290141407
896	1.289858444
897	1.289715094
898	1.289444913
899	1.289306184
900	1.289089784
901	1.289017912
902	1.288938569
903	1.288789516
904	1.288725609
905	1.288620211
