iter	Passed	Remaining
0	78	78114
1	157	78548
2	238	79125
3	330	82376
4	414	82527
5	487	80833
6	560	79563
7	639	79262
8	714	78649
9	794	78653
10	869	78178
11	941	77507
12	1021	77573
13	1105	77864
14	1179	77437
15	1259	77429
16	1335	77238
17	1419	77417
18	1497	77320
19	1573	77098
20	1652	77055
21	1729	76870
22	1807	76771
23	1884	76626
24	1960	76463
25	2035	76245
26	2108	75967
27	2181	75733
28	2257	75601
29	2331	75369
30	2412	75413
31	2491	75369
32	2571	75365
33	2649	75277
34	2727	75190
35	2804	75102
36	2880	74972
37	2957	74869
38	3033	74749
39	3110	74652
40	3189	74595
41	3263	74429
42	3339	74333
43	3418	74284
44	3493	74141
45	3572	74095
46	3652	74053
47	3728	73956
48	3805	73859
49	3882	73759
50	3956	73620
51	4031	73496
52	4110	73454
53	4184	73304
54	4261	73223
55	4339	73153
56	4417	73077
57	4495	73018
58	4578	73024
59	4655	72942
60	4732	72851
61	4810	72784
62	4884	72648
63	4960	72540
64	5037	72457
65	5115	72387
66	5187	72234
67	5263	72138
68	5337	72019
69	5415	71943
70	5495	71901
71	5571	71807
72	5647	71715
73	5727	71665
74	5806	71609
75	5884	71546
76	5958	71426
77	6032	71305
78	6109	71228
79	6187	71150
80	6261	71036
81	6336	70937
82	6409	70818
83	6491	70785
84	6571	70735
85	6658	70763
86	6738	70720
87	6817	70655
88	6894	70568
89	6966	70434
90	7042	70348
91	7121	70287
92	7198	70208
93	7275	70125
94	7349	70012
95	7423	69900
96	7503	69852
97	7579	69763
98	7657	69688
99	7736	69627
100	7815	69561
101	7891	69477
102	7966	69375
103	8042	69289
104	8116	69185
105	8192	69098
106	8269	69013
107	8347	68947
108	8421	68841
109	8497	68755
110	8574	68671
111	8651	68595
112	8729	68524
113	8807	68448
114	8882	68357
115	8959	68281
116	9034	68185
117	9111	68107
118	9189	68031
119	9263	67928
120	9337	67830
121	9412	67737
122	9489	67661
123	9566	67581
124	9648	67541
125	9724	67452
126	9804	67396
127	9880	67307
128	9956	67224
129	10031	67133
130	10115	67103
131	10191	67014
132	10269	66946
133	10344	66852
134	10417	66749
135	10492	66657
136	10571	66589
137	10650	66529
138	10732	66476
139	10808	66394
140	10886	66321
141	10965	66257
142	11040	66164
143	11116	66083
144	11196	66018
145	11270	65926
146	11346	65839
147	11420	65742
148	11497	65666
149	11573	65585
150	11652	65513
151	11735	65473
152	11815	65410
153	11893	65337
154	11973	65275
155	12050	65194
156	12127	65118
157	12206	65048
158	12281	64960
159	12357	64877
160	12430	64778
161	12506	64693
162	12582	64613
163	12660	64537
164	12736	64454
165	12815	64384
166	12889	64292
167	12965	64212
168	13040	64122
169	13117	64042
170	13192	63954
171	13267	63867
172	13344	63791
173	13421	63713
174	13496	63625
175	13573	63550
176	13653	63483
177	13729	63402
178	13805	63319
179	13881	63237
180	13957	63157
181	14031	63063
182	14106	62980
183	14183	62901
184	14261	62827
185	14337	62746
186	14411	62655
187	14501	62632
188	14574	62541
189	14653	62469
190	14730	62393
191	14807	62312
192	14885	62243
193	14963	62167
194	15038	62081
195	15115	62004
196	15192	61925
197	15266	61838
198	15341	61751
199	15419	61678
200	15493	61588
