Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,54,11,22,ROOSEVELT/RAVENNA,661,0,0
2,44,22,50,ROOSEVELT/RAVENNA,1753,6,0
3,13,5,3,BALLARD SOUTH,77,2,0
2,46,14,29,DOWNTOWN COMMERCIAL,2005,1,0
3,13,13,27,NORTHGATE,1609,1,0
2,53,8,12,CAPITOL HILL,1806,1,0
2,46,8,12,CAPITOL HILL,1800,1,0
2,9,8,11,CAPITOL HILL,1715,1,0
2,53,8,12,FIRST HILL,1650,1,0
2,46,22,49,UNIVERSITY,1288,1,0
2,53,18,41,QUEEN ANNE,661,0,0
3,15,12,24,DOWNTOWN COMMERCIAL,1244,1,0
2,1,18,41,QUEEN ANNE,1806,0,0
2,53,18,40,QUEEN ANNE,1522,2,0
2,46,15,33,NORTHGATE,933,1,0
2,46,22,49,UNIVERSITY,1005,1,0
2,44,12,23,DOWNTOWN COMMERCIAL,661,1,0
2,9,14,31,DOWNTOWN COMMERCIAL,748,1,0
2,53,12,23,DOWNTOWN COMMERCIAL,1902,0,0
2,33,7,9,SLU/CASCADE,721,1,0
2,54,5,3,BALLARD SOUTH,191,1,0
2,12,7,10,SLU/CASCADE,79,1,0
1,48,7,10,SLU/CASCADE,79,1,0
2,44,8,12,CAPITOL HILL,0,1,0
2,53,14,31,DOWNTOWN COMMERCIAL,1522,0,0
2,18,10,17,FIRST HILL,0,0,0
2,46,15,33,NORTHGATE,1819,0,0
2,50,15,33,NORTHGATE,1819,0,0
2,46,13,27,NORTHGATE,1552,0,0
2,53,13,27,NORTHGATE,2122,4,0
2,1,5,3,BALLARD SOUTH,1699,6,0
2,51,8,11,CAPITOL HILL,586,1,0
2,1,8,13,FIRST HILL,1100,0,0
2,46,5,3,BALLARD SOUTH,1408,0,0
2,46,8,12,CAPITOL HILL,1539,6,0
3,15,18,40,QUEEN ANNE,997,0,0
2,33,18,41,QUEEN ANNE,1428,6,0
2,33,5,3,BALLARD SOUTH,191,5,0
2,46,22,48,ROOSEVELT/RAVENNA,976,0,0
2,46,22,48,ROOSEVELT/RAVENNA,1208,0,0
2,53,7,9,QUEEN ANNE,0,4,0
2,46,7,9,SLU/CASCADE,933,0,0
2,1,8,13,CAPITOL HILL,1965,1,0
2,1,10,17,FIRST HILL,136,0,0
2,12,8,11,CAPITOL HILL,1902,5,0
2,51,7,10,SLU/CASCADE,915,0,0
2,46,7,10,SLU/CASCADE,741,0,0
2,46,14,31,DOWNTOWN COMMERCIAL,1009,0,0
2,44,12,24,DOWNTOWN COMMERCIAL,781,0,0
2,51,14,29,DOWNTOWN COMMERCIAL,1408,6,0
2,53,8,12,FIRST HILL,697,0,0
2,53,13,27,NORTHGATE,535,0,0
2,53,13,27,NORTHGATE,1650,6,0
2,1,5,2,BALLARD SOUTH,848,0,0
2,53,18,41,QUEEN ANNE,1769,6,0
2,46,15,33,NORTHGATE,716,0,0
3,15,15,33,NORTHGATE,716,0,0
2,51,8,13,CAPITOL HILL,697,5,0
2,12,18,41,SLU/CASCADE,1428,6,0
2,53,14,29,DOWNTOWN COMMERCIAL,945,4,0
2,53,22,49,UNIVERSITY,1938,6,0
2,1,14,31,DOWNTOWN COMMERCIAL,1292,6,0
2,12,15,34,NORTHGATE,1606,3,0
2,33,22,50,ROOSEVELT/RAVENNA,1428,6,0
2,53,22,49,UNIVERSITY,1428,6,0
2,53,22,49,UNIVERSITY,1707,6,0
2,1,5,2,BALLARD SOUTH,2,4,0
2,1,14,30,DOWNTOWN COMMERCIAL,1301,6,0
2,53,22,50,ROOSEVELT/RAVENNA,965,6,0
2,1,7,8,SLU/CASCADE,1548,6,0
2,12,22,49,UNIVERSITY,1499,5,0
2,1,8,11,CAPITOL HILL,143,5,0
2,53,7,9,SLU/CASCADE,823,6,0
2,12,18,40,QUEEN ANNE,2,5,0
2,12,11,22,ROOSEVELT/RAVENNA,2061,2,0
2,53,5,3,BALLARD SOUTH,2061,6,0
2,53,18,41,QUEEN ANNE,884,6,0
2,53,22,49,UNIVERSITY,1031,5,0
2,12,7,9,SLU/CASCADE,661,5,0
2,44,5,2,BALLARD SOUTH,0,0,0
2,12,13,26,NORTHGATE,1806,6,0
2,46,14,31,DOWNTOWN COMMERCIAL,1685,6,0
2,53,22,49,UNIVERSITY,0,6,0
2,54,8,11,CAPITOL HILL,823,5,0
1,31,7,9,SLU/CASCADE,1483,6,0
2,18,22,49,UNIVERSITY,0,6,0
2,44,22,48,ROOSEVELT/RAVENNA,1214,6,0
2,1,13,27,NORTHGATE,823,5,0
2,19,18,40,QUEEN ANNE,697,5,0
2,1,8,11,CAPITOL HILL,741,6,0
2,51,18,41,QUEEN ANNE,2008,2,0
2,12,18,41,QUEEN ANNE,2008,2,0
2,54,13,27,ROOSEVELT/RAVENNA,0,2,0
2,51,8,11,CAPITOL HILL,143,6,0
2,51,8,12,FIRST HILL,191,6,0
2,12,18,40,QUEEN ANNE,652,6,0
3,13,8,11,CAPITOL HILL,359,6,0
2,53,18,40,QUEEN ANNE,314,6,0
2,53,8,13,CAPITOL HILL,1955,4,0
2,27,8,12,CAPITOL HILL,661,5,0
2,53,5,2,BALLARD SOUTH,1753,4,0
2,53,18,41,QUEEN ANNE,378,3,0
2,53,18,40,QUEEN ANNE,28,5,0
2,53,18,40,QUEEN ANNE,2016,4,0
2,53,15,34,NORTHGATE,0,5,0
2,51,22,48,ROOSEVELT/RAVENNA,1724,4,0
2,1,8,13,CAPITOL HILL,0,5,0
2,53,14,29,DOWNTOWN COMMERCIAL,1428,4,0
2,53,7,9,SLU/CASCADE,1113,4,0
2,51,13,27,NORTHGATE,823,5,0
2,1,22,50,ROOSEVELT/RAVENNA,0,3,0
2,33,22,49,UNIVERSITY,393,6,0
2,10,7,9,SLU/CASCADE,661,3,0
2,1,8,11,CAPITOL HILL,214,6,0
2,12,22,49,UNIVERSITY,307,6,0
2,53,15,33,NORTHGATE,239,6,0
2,19,10,17,FIRST HILL,115,6,0
2,9,10,17,FIRST HILL,115,6,0
2,44,15,33,NORTHGATE,2002,5,0
2,46,5,3,BALLARD SOUTH,2029,5,0
2,12,22,48,ROOSEVELT/RAVENNA,1821,5,0
2,1,14,31,DOWNTOWN COMMERCIAL,1157,5,0
2,1,8,13,CAPITOL HILL,1699,5,0
2,46,22,50,ROOSEVELT/RAVENNA,1467,5,0
2,1,8,13,FIRST HILL,1413,5,0
2,46,14,31,DOWNTOWN COMMERCIAL,672,5,0
2,12,14,31,DOWNTOWN COMMERCIAL,672,5,0
2,46,14,30,DOWNTOWN COMMERCIAL,1408,5,0
2,54,13,27,NORTHGATE,0,2,0
2,53,8,12,CAPITOL HILL,95,5,0
2,46,8,11,CAPITOL HILL,1172,5,0
2,12,14,31,DOWNTOWN COMMERCIAL,809,4,0
2,53,12,23,DOWNTOWN COMMERCIAL,939,5,0
2,53,18,40,QUEEN ANNE,1428,4,0
2,53,8,13,CAPITOL HILL,661,4,0
2,1,15,33,NORTHGATE,1046,4,0
2,51,18,40,QUEEN ANNE,1042,4,0
2,33,13,26,NORTHGATE,95,5,0
2,53,22,50,ROOSEVELT/RAVENNA,1699,4,0
2,53,18,41,QUEEN ANNE,1478,4,0
2,53,5,2,BALLARD SOUTH,1381,4,0
2,53,22,49,UNIVERSITY,1676,4,0
2,51,7,9,SLU/CASCADE,1428,4,0
2,51,18,41,QUEEN ANNE,1031,4,0
2,53,14,31,DOWNTOWN COMMERCIAL,905,4,0
2,33,22,48,UNIVERSITY,1884,3,0
2,1,7,10,SLU/CASCADE,1019,1,0
2,46,8,12,CAPITOL HILL,877,5,0
2,33,7,10,SLU/CASCADE,1606,4,0
2,12,13,27,NORTHGATE,1902,4,0
2,50,15,33,NORTHGATE,655,5,0
3,15,15,33,NORTHGATE,655,5,0
2,33,7,10,SLU/CASCADE,1157,4,0
3,13,10,17,FIRST HILL,476,5,0
2,12,22,49,UNIVERSITY,438,5,0
2,53,8,13,CAPITOL HILL,198,5,0
2,33,8,11,CAPITOL HILL,143,5,0
2,54,18,40,QUEEN ANNE,2008,3,0
2,12,14,29,DOWNTOWN COMMERCIAL,0,5,0
2,9,7,9,SLU/CASCADE,15,5,0
2,53,18,40,QUEEN ANNE,231,3,0
2,46,14,31,DOWNTOWN COMMERCIAL,1721,4,0
2,44,5,3,BALLARD SOUTH,1733,4,0
2,46,14,31,DOWNTOWN COMMERCIAL,1784,4,0
2,58,18,41,QUEEN ANNE,1309,4,0
3,13,14,31,DOWNTOWN COMMERCIAL,801,4,0
2,51,8,12,CAPITOL HILL,1076,4,0
2,33,7,10,SLU/CASCADE,438,4,0
2,12,8,12,CAPITOL HILL,1135,4,0
2,12,22,49,UNIVERSITY,1861,3,0
2,53,7,10,SLU/CASCADE,1244,2,0
2,51,8,11,CAPITOL HILL,857,4,0
2,53,22,49,UNIVERSITY,1825,3,0
2,53,5,2,BALLARD SOUTH,1658,3,0
2,53,5,2,BALLARD SOUTH,1699,3,0
2,53,22,49,UNIVERSITY,1157,3,0
2,53,14,29,DOWNTOWN COMMERCIAL,1478,3,0
2,46,22,49,UNIVERSITY,631,4,0
2,53,5,3,BALLARD SOUTH,1339,3,0
2,46,8,13,FIRST HILL,1244,3,0
2,33,8,13,CAPITOL HILL,639,4,0
2,53,5,2,BALLARD SOUTH,984,3,0
2,53,22,49,UNIVERSITY,1562,5,0
2,53,22,49,UNIVERSITY,1157,3,0
2,10,13,27,NORTHGATE,945,3,0
2,1,22,49,UNIVERSITY,823,0,0
2,53,18,40,QUEEN ANNE,2008,2,0
2,53,11,22,ROOSEVELT/RAVENNA,371,4,0
2,12,8,11,CAPITOL HILL,1955,3,0
3,15,8,13,CAPITOL HILL,151,4,0
3,14,8,13,CAPITOL HILL,151,4,0
3,15,14,29,DOWNTOWN COMMERCIAL,2087,3,0
2,18,18,41,QUEEN ANNE,1902,3,0
2,33,22,50,ROOSEVELT/RAVENNA,1522,3,0
3,56,12,23,DOWNTOWN COMMERCIAL,2023,3,0
2,53,14,31,DOWNTOWN COMMERCIAL,1478,3,0
2,33,6,5,CAPITOL HILL,1522,2,0
2,33,8,11,CAPITOL HILL,1428,2,0
2,46,14,30,DOWNTOWN COMMERCIAL,1360,3,0
2,12,8,13,FIRST HILL,0,3,0
2,12,22,48,ROOSEVELT/RAVENNA,1330,3,0
2,46,22,48,ROOSEVELT/RAVENNA,1330,3,0
2,46,14,29,DOWNTOWN COMMERCIAL,1113,3,0
2,46,11,22,ROOSEVELT/RAVENNA,625,3,0
2,46,22,49,UNIVERSITY,1076,3,0
2,54,12,23,DOWNTOWN COMMERCIAL,0,4,0
2,26,11,22,ROOSEVELT/RAVENNA,1076,0,0
2,53,8,11,CAPITOL HILL,597,3,0
2,44,7,10,SLU/CASCADE,1522,2,0
2,53,18,40,QUEEN ANNE,1724,2,0
2,53,14,31,DOWNTOWN COMMERCIAL,984,2,0
2,1,18,40,QUEEN ANNE,487,3,0
2,53,14,29,DOWNTOWN COMMERCIAL,1428,2,0
2,53,11,22,ROOSEVELT/RAVENNA,2008,1,0
2,53,14,31,DOWNTOWN COMMERCIAL,1157,2,0
2,53,18,41,QUEEN ANNE,1806,1,0
2,51,14,31,DOWNTOWN COMMERCIAL,905,5,0
2,53,11,22,ROOSEVELT/RAVENNA,1339,0,0
2,1,14,29,DOWNTOWN COMMERCIAL,1699,5,0
2,26,7,9,QUEEN ANNE,984,0,0
2,1,22,49,UNIVERSITY,1631,4,0
2,33,7,10,SLU/CASCADE,1699,2,0
2,50,22,48,ROOSEVELT/RAVENNA,42,3,0
2,12,14,29,DOWNTOWN COMMERCIAL,33,3,0
2,12,22,49,UNIVERSITY,5,3,0
2,46,22,50,ROOSEVELT/RAVENNA,1806,2,0
2,50,14,31,DOWNTOWN COMMERCIAL,1733,2,0
2,53,11,22,ROOSEVELT/RAVENNA,1953,2,0
2,12,8,13,FIRST HILL,1896,2,0
2,46,8,12,CAPITOL HILL,1612,2,0
2,46,8,11,CAPITOL HILL,1685,2,0
2,26,15,34,NORTHGATE,0,2,0
2,50,8,13,CAPITOL HILL,1580,2,0
