Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,44,22,U3,50,1753,6,0
3,13,5,B2,4,77,2,0
3,13,13,L2,43,1609,1,0
2,9,8,E1,8,1715,1,0
2,46,22,U2,58,1288,1,0
2,53,18,Q3,47,661,0,0
2,1,18,Q3,47,1806,0,0
2,53,18,Q2,47,1522,2,0
2,46,15,N2,43,933,1,0
2,46,22,U2,58,1005,1,0
2,1,24,W2,1,1650,3,0
2,54,5,B3,21,1522,6,0
2,33,7,D2,53,721,1,0
2,1,12,K3,11,1861,0,0
2,53,5,B3,21,1699,0,0
3,13,22,U3,52,79,0,0
2,54,5,B2,4,191,1,0
2,12,7,D3,53,79,1,0
1,48,7,D3,53,79,1,0
2,46,15,N2,43,1819,0,0
2,50,15,N2,43,1819,0,0
2,46,13,L2,43,1552,0,0
2,51,12,K3,11,1381,0,0
2,53,12,K3,11,586,6,0
2,53,13,L2,43,2122,4,0
2,1,24,W2,25,823,5,0
2,1,5,B2,4,1699,6,0
2,51,8,E1,8,586,1,0
2,12,19,R2,38,1031,6,0
2,1,8,E3,20,1100,0,0
2,46,5,B2,4,1408,0,0
3,15,18,Q2,47,997,0,0
2,33,18,Q3,47,1428,6,0
2,33,5,B2,4,191,5,0
2,46,22,U1,50,976,0,0
2,46,22,U1,50,1208,0,0
2,53,7,D2,47,0,4,0
2,46,7,D2,53,933,0,0
2,1,8,E3,8,1965,1,0
2,12,8,E1,8,1902,5,0
2,51,7,D3,53,915,0,0
2,1,12,K3,11,0,3,0
2,53,24,W2,1,823,0,0
2,33,24,W2,1,823,0,0
2,46,7,D3,53,741,0,0
2,53,19,R2,38,314,4,0
2,53,5,B2,21,1634,3,0
2,12,24,W2,1,1002,0,0
2,53,13,L2,43,535,0,0
2,53,13,L2,43,1650,6,0
2,1,5,B1,4,848,0,0
2,53,18,Q3,47,1769,6,0
2,46,15,N2,43,716,0,0
3,15,15,N2,43,716,0,0
2,51,8,E3,8,697,5,0
2,12,18,Q3,53,1428,6,0
2,53,22,U2,58,1938,6,0
2,19,24,W2,1,984,4,0
2,33,22,U3,50,1428,6,0
2,53,22,U2,58,1428,6,0
2,53,22,U2,58,1707,6,0
2,1,5,B1,4,2,4,0
2,53,22,U3,50,965,6,0
2,53,24,W2,1,1339,4,0
2,12,24,W2,1,469,0,0
2,53,24,W2,1,468,6,0
2,12,22,U2,58,1499,5,0
2,1,8,E1,8,143,5,0
2,53,7,D2,53,823,6,0
2,12,18,Q2,47,2,5,0
2,12,5,B3,21,1053,6,0
2,53,5,B2,4,2061,6,0
2,53,18,Q3,47,884,6,0
2,53,22,U2,58,1031,5,0
2,12,7,D2,53,661,5,0
2,53,5,B2,21,823,6,0
2,53,19,R2,12,1562,3,0
2,44,5,B1,4,0,0,0
3,13,24,W2,1,1985,6,0
1,48,15,N2,6,2061,6,0
2,53,22,U2,58,0,6,0
2,54,8,E1,8,823,5,0
2,46,5,B3,60,1369,6,0
1,31,7,D2,53,1483,6,0
2,18,22,U2,58,0,6,0
2,44,22,U1,50,1214,6,0
2,1,13,L2,43,823,5,0
2,19,18,Q2,47,697,5,0
2,1,8,E1,8,741,6,0
2,51,18,Q3,47,2008,2,0
2,12,18,Q3,47,2008,2,0
2,54,13,L2,50,0,2,0
2,51,8,E1,8,143,6,0
2,33,24,W2,1,1428,5,0
2,33,22,U3,52,1699,5,0
2,12,18,Q2,47,652,6,0
3,13,8,E1,8,359,6,0
2,53,18,Q2,47,314,6,0
2,51,5,B3,60,1428,5,0
2,53,8,E3,8,1955,4,0
2,53,5,B1,4,1753,4,0
2,53,5,B3,60,1753,6,0
2,53,18,Q3,47,378,3,0
2,53,18,Q2,47,28,5,0
2,53,18,Q2,47,2016,4,0
2,51,22,U1,50,1724,4,0
2,53,5,B2,44,5,6,0
2,1,8,E3,8,0,5,0
2,53,7,D2,53,1113,4,0
2,51,13,L2,43,823,5,0
2,1,22,U3,50,0,3,0
2,33,22,U2,58,393,6,0
2,10,7,D2,53,661,3,0
2,1,8,E1,8,214,6,0
2,12,22,U2,58,307,6,0
2,53,15,N2,43,239,6,0
2,44,15,N2,43,2002,5,0
2,46,5,B2,4,2029,5,0
2,46,19,R2,38,1790,5,0
2,12,22,U1,50,1821,5,0
2,1,8,E3,8,1699,5,0
